Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10
186,34,1,0,1,1,1,0,1,0
186,35,1,0,1,1,1,0,1,0
186,36,1,0,1,1,1,0,1,0
186,37,1,0,1,1,1,0,1,0
186,38,1,0,1,1,1,0,1,0
186,39,1,0,1,1,1,0,1,0
186,40,1,0,1,1,1,0,1,0
186,41,1,0,1,1,1,0,1,0
186,42,1,0,1,1,1,0,1,0
186,43,1,0,1,1,1,0,1,0
186,44,1,0,1,1,1,0,1,0
186,45,1,0,1,1,1,0,1,0
186,46,1,0,1,1,1,0,1,0
186,47,1,0,1,1,1,0,1,0
186,48,1,0,1,1,1,0,1,0
186,49,1,0,1,1,1,0,1,0
186,50,1,0,1,1,1,0,1,0
186,51,1,0,1,1,1,0,1,0
186,52,1,0,1,1,1,0,1,0
186,53,1,0,1,1,1,0,1,0
186,54,1,0,1,1,1,0,1,0
186,55,1,0,1,1,1,0,1,0
186,56,1,0,1,1,1,0,1,0
186,57,1,0,1,1,1,0,1,0
186,58,1,0,1,1,1,0,1,0
186,59,1,0,1,1,1,0,1,0
186,60,1,0,1,1,1,0,1,0
186,61,1,0,1,1,1,0,1,0
186,62,1,0,1,1,1,0,1,0
186,63,1,0,1,1,1,0,1,0
186,64,1,0,1,1,1,0,1,0
186,65,1,0,1,1,1,0,1,0
186,66,1,0,1,1,1,0,1,0
186,67,1,0,1,1,1,0,1,0
186,68,1,0,1,1,1,0,1,0
186,69,1,0,1,1,1,0,1,0
186,70,1,0,1,1,1,0,1,0
186,71,1,0,1,1,1,0,1,0
186,72,1,0,1,1,1,0,1,0
186,73,1,0,1,1,1,0,1,0
186,74,1,0,1,1,1,0,1,0
186,75,1,0,1,1,1,0,1,0
186,76,1,0,1,1,1,0,1,0
186,77,1,0,1,1,1,0,1,0
186,78,1,0,1,1,1,0,1,0
186,79,1,0,1,1,1,0,1,0
186,80,1,0,1,1,1,0,1,0
186,81,1,0,1,1,1,0,1,0
186,82,1,0,1,1,1,0,1,0
186,83,1,0,1,1,1,0,1,0
186,84,1,0,1,1,1,0,1,0
186,85,1,0,1,1,1,0,1,0
186,86,1,0,1,1,1,0,1,0
186,87,1,0,1,1,1,0,1,0
186,88,1,0,1,1,1,0,1,0
186,89,1,0,1,1,1,0,1,0
186,90,1,0,1,1,1,0,1,0
186,91,1,0,1,1,1,0,1,0
186,92,1,0,1,1,1,0,1,0
186,93,1,0,1,1,1,0,1,0
186,94,1,0,1,1,1,0,1,0
186,95,1,0,1,1,1,0,1,0
186,96,1,0,1,1,1,0,1,0
186,97,1,0,1,1,1,0,1,0
186,98,1,0,1,1,1,0,1,0
186,99,1,0,1,1,1,0,1,0
186,100,1,0,1,1,1,0,1,0
186,101,1,0,1,1,1,0,1,0
186,102,1,0,1,1,1,0,1,0
186,103,1,0,1,1,1,0,1,0
186,104,1,0,1,1,1,0,1,0
186,105,1,0,1,1,1,0,1,0
186,106,1,0,1,1,1,0,1,0
186,107,1,0,1,1,1,0,1,0
186,108,1,0,1,1,1,0,1,0
186,109,1,0,1,1,1,0,1,0
186,110,1,0,1,1,1,0,1,0
186,111,1,0,1,1,1,0,1,0
186,112,1,0,1,1,1,0,1,0
186,113,1,0,1,1,1,0,1,0
186,114,1,0,1,1,1,0,1,0
186,115,1,0,1,1,1,0,1,0
186,116,1,0,1,1,1,0,1,0
186,117,1,0,1,1,1,0,1,0
186,118,1,0,1,1,1,0,1,0
186,119,1,0,1,1,1,0,1,0
186,120,1,0,1,1,1,0,1,0
186,121,1,0,1,1,1,0,1,0
186,122,1,0,1,1,1,0,1,0
186,123,1,0,1,1,1,0,1,0
186,124,1,0,1,1,1,0,1,0
186,125,1,0,1,1,1,0,1,0
186,126,1,0,1,1,1,0,1,0
186,127,1,0,1,1,1,0,1,0
186,128,1,0,1,1,1,0,1,0
186,129,1,0,1,1,1,0,1,0
186,130,1,0,1,1,1,0,1,0
186,131,1,0,1,1,1,0,1,0
186,132,1,0,1,1,1,0,1,0
186,133,1,0,1,1,1,0,1,0
186,134,1,0,1,1,1,0,1,0
186,135,1,0,1,1,1,0,1,0
186,136,1,0,1,1,1,0,1,0
186,137,1,0,1,1,1,0,1,0
186,138,1,0,1,1,1,0,1,0
186,139,1,0,1,1,1,0,1,0
186,140,1,0,1,1,1,0,1,0
186,141,1,0,1,1,1,0,1,0
186,142,1,0,1,1,1,0,1,0
186,143,1,0,1,1,1,0,1,0
186,144,1,0,1,1,1,0,1,0
186,145,1,0,1,1,1,0,1,0
186,146,1,0,1,1,1,0,1,0
186,147,1,0,1,1,1,0,1,0
186,148,1,0,1,1,1,0,1,0
186,149,1,0,1,1,1,0,1,0
186,150,1,0,1,1,1,0,1,0
186,151,1,0,1,1,1,0,1,0
186,152,1,0,1,1,1,0,1,0
